label,fund_type,nav_asset_id,proxy_uuid,broad_uuid
AUD | Debt - Mezzanine - AUD,Private Credit,0d844646-ed71-48af-9f33-60910e83e7b6,302ba599-45b7-4a76-ba99-103a4eaa9769,5526c00d-42ec-49d5-8146-c8f46ad3d7de
AUD | Debt - Senior - AUD,Private Credit,1fcc98d9-3ae2-438b-a574-1a064dca3434,88c971d9-5247-43ae-a5a8-f3a2ea6498c0,302ba599-45b7-4a76-ba99-103a4eaa9769
AUD | Eq - Buyout + Expansion - AUD,Private Equity,74f25897-be13-44d9-be94-ddf3f9e27d51,0b8ca86f-e31f-4409-87cd-ca3bb1a382a3,7e4d92cc-bc34-4ada-9175-41b8953eac42
AUD | Venture Capital - AUD,Private Equity,9366711f-b495-4df0-9020-7add1a9959b7,43cea6e0-251a-4653-b6a1-f3cf23b0b013,7e4d92cc-bc34-4ada-9175-41b8953eac42
AUD | Infrastructure - AUD,Private Real Assets,fe1764e5-9ca6-4f85-af9c-984a1340b7e4,1970e925-d087-48a9-9e0e-a59eeda8c7e7,c605bde6-9a3a-4799-9d66-b340ca3636b4
AUD | Timber - AUD,Private Real Assets,6c613116-8df5-4d6e-9b6b-1340bae1a4d3,653e8db3-a3cb-4017-a536-94273f906711,c605bde6-9a3a-4799-9d66-b340ca3636b4
AUD | Real Estate - Ex-Value-Added - APAC - AUD,Private Real Estate,0222b9d5-a728-404f-b040-5d7098592cb1,f32d94c2-caeb-4bda-9273-2896f91dcae2,c605bde6-9a3a-4799-9d66-b340ca3636b4
AUD | Real Estate - Ex-Value-Added - Europe - AUD,Private Real Estate,3b71884c-6013-4513-a948-8a6519e5de8d,8f8123cf-283c-4f81-a219-49921e980cc0,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
AUD | Real Estate - Value-Added - Europe - AUD,Private Real Estate,2960704f-dac8-47d1-99da-9b6b058684b2,cd3b61ad-08af-49f7-a429-ea935c8942d4,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
AUD | Real Estate - Ex-Value-Added - UK - AUD,Private Real Estate,47e02f4c-15bc-4fae-a391-976624b8776f,8f8123cf-283c-4f81-a219-49921e980cc0,02db51bf-fdd0-46f0-b22f-0f13a60cff81
AUD | Real Estate - Ex-Value-Added - USA - AUD,Private Real Estate,2f83e6c4-971f-49db-8257-63d25207ecf5,03e53409-2cf0-49ef-9299-72e1cb0b588b,b1591cc0-f9ff-4255-99b8-d34cd4678391
